 propety , "x" ,
 http://www.w3.org/2000/01/rdf-schema#comment , Archer Kent Blood (Chicago, 20 de marzo de 1923 ? Fort Collins, 3 de septiembre de 2004) fue un diplom�tico y acad�mico estadounidense. Fue el �ltimo C�nsul General de Estados Unidos en Daca, Banglad�s (en entonces Pakist�n Oriental). Es famoso por su duro mensaje en el ''Telegrama Blood'', en donde protestaba contra las atrocidades cometidas durante la Guerra de Liberaci�n de Banglad�s. Tambi�n realiz� servicios en Grecia, Argelia, Alemania, Afganist�n y acab� su carrera cuando encargado de negocios de la Embajada de Estados Unidos en Nueva Delhi, India, retir�ndose en 1982. ,
 http://www.w3.org/2000/01/rdf-schema#comment , Ariela Mar�a de los Milagros Luna Florez (21 de octubre de 1958) es una m�dico y antrop�loga peruana. Fue Ministra de Desarrollo e Inclusi�n Social del Per� desde el 29 de octubre de 2019 hasta el 15 de julio de 2020 durante el Gobierno de Mart�n Vizcarra.? ,
 http://www.w3.org/2000/01/rdf-schema#comment , Arnulfo Gasca Trujillo (2 de octubre de 1953), Municipio de Puerto Mil�n Caquet�, Colombia. Es empresario del sector rural, pol�tico y gobernador del departamento del Caquet� en el periodo 2020-2023.? ,
 http://www.w3.org/2000/01/rdf-schema#comment , Luis Arturo Z��iga Jory? (Santiago, 1 de diciembre de 1982)? es un ingeniero comercial y pol�tico chileno. Desde el 11 de julio de 2019 se desempe�a como subsecretario de Redes Asistenciales en el Minsal, bajo el segundo mandato del presidente Sebasti�n Pi�era.? ,
 http://www.w3.org/2000/01/rdf-schema#comment , Ascensi�n Pastor Parres (Bilbao, 18 de enero de 1942) es Doctora en Historia y Ciencias Jur�dicas del Derecho?. Es profesora titular de Historia del Derecho en la Universidad de Deusto y pol�tica del Partido Popular. ,
 http://www.w3.org/2000/01/rdf-schema#comment , Ashok-Alexander Sridharan es un pol�tico alem�n de ascendencia india qui�n es el Alcalde actual de Bonn como miembro de la Uni�n Democr�tica cristiana de Alemania (CDU). Es el primer alcalde de Bonn para ser de fondo inmigrante.? ,
 http://www.w3.org/2000/01/rdf-schema#comment , Aslan Georgievich Bzhania (en abjasio: ????? ??????-??? ???????, en ruso: ????? ?????????? ??????; , 6 de abril de 1963) es un pol�tico abjasio que se desempe�a como Presidente de Abjasia desde el 23 de abril de 2020. Fue el jefe del Servicio de Seguridad del Estado, y uno de los l�deres de la oposici�n en Abjasia. ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Adame_Ba_Konar� ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Adriano_S�nchez_Roa ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Adri�n_Ward ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Agust�n_Haya_de_la_Torre_de_la_Rosa ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Agust�n_Molina_Mart�nez ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Ahmed_Hilmi_Pasha ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Aileen_Baviera ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Aisha_Musa_el-Said ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Akua_Asabea_Ayisi ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Alain_Vivien ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Alaiza_Pashkevich ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Aptripel_Tumimomor ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Arancha_Gonz�lez_Laya ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Archer_Blood ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Ariela_Luna ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Arnulfo_Gasca_Trujillo ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Arturo_Z��iga ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Ascensi�n_Pastor_Parres ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Ashok-Alexander_Sridharan ,
 http://www.w3.org/2002/07/owl#sameAs , http://es.dbpedia.org/resource/Aslan_Bzhania ,
 http://xmlns.com/foaf/0.1/name , Adriano S�nchez Roa ,
 http://xmlns.com/foaf/0.1/name , Adri�n Ward ,
 http://xmlns.com/foaf/0.1/name , Agust�n Molina Mart�nez ,
 http://xmlns.com/foaf/0.1/name , Ahmed Hilmi Abd al-Baqi ,
 http://xmlns.com/foaf/0.1/name , Akua Asabea Ayisi ,
 http://xmlns.com/foaf/0.1/name , Aptripel Tumimomor ,
 http://xmlns.com/foaf/0.1/name , En el cargo ,
 http://xmlns.com/foaf/0.1/name , Arancha Gonz�lez ,
 http://xmlns.com/foaf/0.1/name , Archer Kent Blood ,
 http://xmlns.com/foaf/0.1/name , Ariela Luna ,
 http://xmlns.com/foaf/0.1/name , Arnulfo Gasca Trujillo ,
 http://xmlns.com/foaf/0.1/name , Arturo Z��iga Jory ,
 http://xmlns.com/foaf/0.1/name , Aslan Bzhania ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Adame_Ba_Konar� ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Museo_de_la_Mujer_Muso_Kunda ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Adriano_S�nchez_Roa ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Adri�n_Ward ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Domingo_Almenara_Butler ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Agustin_Haya_de_la_Torre ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Agust�n_Haya_de_la_Torre ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Agust�n_Haya_de_la_Torre_de_la_Rosa ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Defensor_Sporting_Club_(juveniles) ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Agust�n_Molina ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Agust�n_Molina_Mart�nez ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Amin_al-Husayni ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Gobierno_del_Protectorado_de_Toda_Palestina ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Protectorado_de_Toda_Palestina ,
 http://xmlns.com/foaf/0.1/topic , http://dbpedia.org/resource/Ahmed_Hilmi_Pasha ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Ahmed_Hilmi_Pasha ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Aileen_San_Pablo_Baviera ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Aileen_Baviera ,
 http://xmlns.com/foaf/0.1/topic , http://dbpedia.org/resource/Aisha_Musa_el-Said ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Aisha_Musa_el-Said ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Akua_Asabea_Ayisi ,
 http://xmlns.com/foaf/0.1/topic , http://dbpedia.org/resource/Alain_Vivien ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Alain_Vivien ,
 http://xmlns.com/foaf/0.1/topic , http://dbpedia.org/resource/Alaiza_Pashkevich ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Alaiza_Pashkevich ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Aptripel_Tumimomor ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Orden_del_M�rito_Civil_(Espa�a) ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Orden_de_Isabel_la_Cat�lica ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Josep_Borrell ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Ministro_de_Asuntos_Exteriores_de_Espa�a ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Margarita_Robles ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Ministerio_de_Asuntos_Exteriores,_Uni�n_Europea_y_Cooperaci�n ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Arancha_Gonz�lez ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Arancha_Gonz�lez_Laya ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Mar�a_Ar�nzazu_Gonz�lez_Laya ,
 http://xmlns.com/foaf/0.1/topic , http://dbpedia.org/resource/Archer_Blood ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Archer_Blood ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Jorge_Mel�ndez_Celis ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Patricia_Donayre ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Ariela_Luna_Florez ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Ariela_Luna ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Arnulfo_Gasca_Trujillo ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Luis_Castillo_Fuenzalida ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Ministerio_de_Salud_(Chile) ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Subsecretar�a_de_Redes_Asistenciales_de_Chile ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Arturo_Z��iga ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Ascensi�n_Pastor_Parres ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Ashok-Alexander_Sridharan ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Valeri_Bganba ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Alexander_Ankvab ,
 http://xmlns.com/foaf/0.1/topic , http://es.dbpedia.org/resource/Abjasia ,
 http://xmlns.com/foaf/0.1/topic , http://es.wikipedia.org/wiki/Aslan_Bzhania ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Historiadoras ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Historiadoras_de_Mal� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Alpha_Oumar_Konar� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Feministas_de_Mal� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Primera_dama_de_Mal� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://es.dbpedia.org/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Activistas_por_los_derechos_de_las_mujeres_de_Mal� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Nacidos_en_1956 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Alumnado_de_la_Universidad_de_Panam� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Pol�ticos_del_Partido_de_la_Liberaci�n_Dominicana ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Comendador ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Provincia_de_El�as_Pi�a ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Distrito_Nacional ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/C�nyuge ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Pol�tico ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Santo_Domingo ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Universidad_de_Panam� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Instituto_Tecnol�gico_de_Santo_Domingo ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Pol�ticos_del_Partido_Reformista_Social_Cristiano ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Partido_de_la_Liberaci�n_Dominicana ,
 http://www.w3.org/2007/05/powder-s#describedby , http://es.dbpedia.org/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Personas_vivas ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Partido_Reformista_Social_Cristiano ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/El�as_Pi�a ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_de_Per�_1892-1894 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_de_Per�_1895-1900 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_de_Per�_1901-1906 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Domingo_Almenara_Butler ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_de_Per�_1907-1912 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Ministro_de_Econom�a_y_Finanzas_del_Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Eduardo_L�pez_de_Roma�a ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Jos�_Reynoso ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Lima ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Juan_Federico_Ward ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Arequipa ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_de_Per�_1883 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_de_Per�_1886-1889 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_por_Tacna ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Arequipe�os ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Ministros_de_Econom�a_y_Finanzas_de_Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Departamento_de_Tacna ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Ces�reo_Chacaltana_Reyes ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Senadores_de_Per�_1889-1891 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Congreso_de_la_Rep�blica_del_Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Catedr�ticos_de_la_Universidad_Nacional_Mayor_de_San_Marcos ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Miembros_del_Partido_Aprista_Peruano ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Parlamentarios_andinos ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Sanmarquinos_(siglo_XXI) ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Alumnado_de_la_Pontificia_Universidad_Cat�lica_del_Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Diputados_de_Per�_1985-1990 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Alumnado_de_la_Universidad_Internacional_de_Andaluc�a ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Diputados_de_Per�_1980-1985 ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Diputados_por_Lima_Metropolitana ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Sanmarquinos_(siglo_XX) ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Soci�logos_de_Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Provincia_de_Lima ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Pontificia_Universidad_Cat�lica_del_Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Jos�_Agust�n_Haya_de_la_Torre ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Diputados_al_Parlamento_Latinoamericano ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Lime�os ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Ingenier�a_agr�cola ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Pol�ticos_de_Per� ,
 http://www.w3.org/2007/05/powder-s#describedby , http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categor�a:Miembros_del_Partido_Nacionalista_Peruano ,
