PK,NOMBRE,COMEDOR,HORARIO AMPLIADO,PLANES DE MEJORA,INTEGRACION,TRANSPORTE,BUS,METRO,RENFE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,CLASE-VIAL,NOMBRE-VIA,TIPO-NUM,NUM,LOCALIDAD,sameAs_LOCALIDAD,PROVINCIA,sameAs_PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,sameAs_BARRIO,COD-DISTRITO,DISTRITO,sameAs_DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
5083,Colegio Público Amós Acero,1,No mencionado,No mencionado,Trastornos generales del desarrollo,-METRO: Nueva Numancia  Portazgo -BUS: 10  54  57  58  103  111  310  410,BUS: 10  54  57  58  103  111  310  410,METRO: Nueva Numancia  Portazgo,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0309a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-RODRIGUEZ_ESPINOSA-NUM-54,CALLE,RODRIGUEZ ESPINOSA,NUM,54,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28053,3,Palomeras Bajas,https://www.wikidata.org/wiki/Q10343902,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,443664,4471282,40.390223332282275,-3.6637750346593543,914 785 161,914 772 415,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5295314,Colegio Público Angel Nieto,No mencionado,No mencionado,No mencionado,No mencionado,-METRO: Las Suertes -BUS: 142 y 145,BUS: 142 y 145,METRO: Las Suertes,,ENSEÑANZA: Educacion Infantil - Primaria - Enseñanza bilingüe  Centro de nueva creación Curso 2019-20 Se imparte niveles desde infantil hasta primero de primaria.,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e5ebe48403b60210VgnVCM2000000c205a0aRCRD,AVENIDA-LAS_SUERTES-V-109,AVENIDA,LAS SUERTES,V,109,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28051,3,Ensanche de Vallecas,https://www.wikidata.org/wiki/Q3847485,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,450106,4468011,40.36117774761706,-3.587611628781373,912 723 449 - 660 486 591,No mencionado,cp.angelnieto.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5792171,Colegio Público Antonio Fontan,No mencionado,No mencionado,No mencionado,No mencionado,-BUS: 134 178,BUS: 134 178,,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93f1a0910bcca210VgnVCM2000000c205a0aRCRD,AVENIDA-SANTUARIO_DE_VALVERDE-V-71,AVENIDA,SANTUARIO DE VALVERDE,V,71,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28049,8,El Goloso,https://www.wikidata.org/wiki/Q10271137,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,441221,4484771,40.51157829071127,-3.6938180692699696,911 722 243,911 720 010,cp.antoniofontan.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5087,Colegio Público Antonio Machado,1,1,1,No mencionado,-BUS: 35  47,BUS: 35  47,,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad29a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-ALLARIZ-V-3,CALLE,ALLARIZ,V,3,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28044,6,Buenavista,https://www.wikidata.org/wiki/Q953929,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,436078,4469020,40.36742548683976,-3.7541975520390944,915 088 661,914 006 788,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5088,Colegio Público Antonio Moreno Rosales,1,No mencionado,1,No mencionado,-METRO: Tirso de Molina  Antón Martín -BUS: 6  26  32,BUS: 6  26  32,METRO: Tirso de Molina  Antón Martín,,ENSEÑANZA: Educación Infantil - Primaria Curso 2018/19 trasladado por obras al Colegio Público Perú / Calle Baleares 18.,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f249a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-OLMO-V-4,CALLE,OLMO,V,4,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28012,2,Embajadores,https://www.wikidata.org/wiki/Q2449844,1,Centro,https://www.wikidata.org/wiki/Q1763376,440501,4473665,40.41147059852911,-3.701274799534028,915 390 646,915 390 646,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5085,Colegio Público Antonio de Nebrija,1,1,1,No mencionado,-BUS: 85  123 -RENFE: Villaverde Bajo,BUS: 85  123,,RENFE: Villaverde Bajo,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5819a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-JUAN_JOSE_MARTINEZ_SECO-V-77,CALLE,JUAN JOSE MARTINEZ SECO,V,77,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28021,4,Los Rosales,https://www.wikidata.org/wiki/Q10319807,17,Villaverde,https://www.wikidata.org/wiki/Q919536,441729,4467039,40.35186683091612,-3.6861847074521887,917 963 500,915 051 317,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5091,Colegio Público Aragón,1,No mencionado,1,No mencionado,-METRO: Miguel Hernández -BUS: 54  58  103  142  143  144,BUS: 54  58  103  142  143  144,METRO: Miguel Hernández,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4859a3f5ca71c010VgnVCM1000000b205a0aRCRD,AVENIDA-RAFAEL_ALBERTI-NUM-2,AVENIDA,RAFAEL ALBERTI,NUM,2,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28038,4,Palomeras Sureste,https://www.wikidata.org/wiki/Q10343901,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,445907,4471511,40.39244393012934,-3.6373799409076795,913 039 852,913 806 367,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5092,Colegio Público Aravaca,1,No mencionado,No mencionado,Trastornos generales del desarrollo,-BUS: 160 161,BUS: 160 161,,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d69a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-ESTUDIO-V-6,CALLE,ESTUDIO,V,6,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28023,7,Aravaca,https://www.wikidata.org/wiki/Q3314682,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,433385,4479176,40.460576198420775,-3.7857037462052063,913 078 119 - 913 071 832,913 071 832,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5093,Colegio Público Arcipreste de Hita,1,1,1,No mencionado,-METRO: Opañel -BUS: 55  108  118  247,BUS: 55  108  118  247,METRO: Opañel,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e289a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-ANTONIO_MORENO-V-25,CALLE,ANTONIO MORENO,V,25,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28025,7,Abrantes,https://www.wikidata.org/wiki/Q3773949,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,438524,4470930,40.38481599116821,-3.725574252110717,915 605 495,914 605 635,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5094,Colegio Público Arquitecto Gaudí,1,1,1,No mencionado,-METRO: Pio XII -BUS: 16  29  49  70  107  150  229,BUS: 16  29  49  70  107  150  229,METRO: Pio XII,,ENSEÑANZA: Educación Infantil - Primaria,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3899a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-ROSA_JARDON-V-10,CALLE,ROSA JARDON,V,10,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28016,5,Nueva España,https://www.wikidata.org/wiki/Q10338128,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,443279,4479632,40.46541828100197,-3.669067772820547,913 506 564,913 506 564,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5095,Colegio Público Asturias,1,1,1,No mencionado,-BUS: 54  144,BUS: 54  144,,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d2c9a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-ASTURIANOS-V-2,CALLE,ASTURIANOS,V,2,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28018,4,Palomeras Sureste,https://www.wikidata.org/wiki/Q10343901,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,445456,4470478,40.38310860341996,-3.6426052252549703,917 770 635,917 850 680,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5431144,Colegio Público Ausias March,1,1,No mencionado,No mencionado,-BUS: 85,BUS: 85,,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67c74431fcf04210VgnVCM1000000b205a0aRCRD,CALLE-ESTEFANITA-V-9,CALLE,ESTEFANITA,V,9,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28021,3,Butarque,https://www.wikidata.org/wiki/Q390453,17,Villaverde,https://www.wikidata.org/wiki/Q919536,442694,4466201,40.34439346121857,-3.674746714234173,917 109 916,917 964 694,p.ausiasmarch.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5098,Colegio Público Azorín,1,No mencionado,1,No mencionado,-BUS: 59  79,BUS: 59  79,,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7de9a3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-GODELLA-V-57,CALLE,GODELLA,V,57,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28021,2,San Cristóbal,https://www.wikidata.org/wiki/Q390457,17,Villaverde,https://www.wikidata.org/wiki/Q919536,441653,4466044,40.342906888165004,-3.6870005154391885,917 975 733,917 231 639,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5099,Colegio Público Barcelona,1,1,1,No mencionado,-BUS: 18  22  59  79  85  86  116,BUS: 18  22  59  79  85  86  116,,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c20aa3f5ca71c010VgnVCM1000000b205a0aRCRD,AVENIDA-LA_VERBENA_DE_LA_PALOMA-V-14,AVENIDA,LA VERBENA DE LA PALOMA,V,14,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28041,5,Los Ángeles,https://www.wikidata.org/wiki/Q390462,17,Villaverde,https://www.wikidata.org/wiki/Q919536,440878,4467772,40.35841023700524,-3.696273094000059,913 603 078,913 179 568,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
7635761,Colegio Público Blas de Lezo,No mencionado,No mencionado,No mencionado,No mencionado,-METRO: Las Tablas -BUS: 176,BUS: 176,METRO: Las Tablas,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb4868fe04878410VgnVCM2000000c205a0aRCRD,CALLE-FROMISTA-V-27,CALLE,FROMISTA,V,27,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28050,6,Valverde,https://www.wikidata.org/wiki/Q31132,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,443068,4484732,40.511360317811224,-3.6719996242874196,912 761 564 - 626 122 902,No mencionado,cp.blasdelezo.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5100,Colegio Público Blas de Otero,1,1,1,No mencionado,-BUS: 58  63  145 -METRO: Villa de Vallecas,BUS: 58  63  145,METRO: Villa de Vallecas,,ENSEÑANZA: Educación Infantil - Primaria - Enseñanza bilingüe,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=181aa3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-PUENTELARRA-V-34,CALLE,PUENTELARRA,V,34,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28031,2,Santa Eugenia,https://www.wikidata.org/wiki/Q390463,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,448164,4470461,40.38124773778207,-3.6119692564174404,913 311 550,913 310 535,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5101,Colegio Público Bolivia,1,1,1,No mencionado,-METRO: Batán -BUS: 36  39  65,BUS: 36  39  65,METRO: Batán,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d2aa3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-VILLAVALIENTE-V-29,CALLE,VILLAVALIENTE,V,29,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28011,3,Lucero,https://www.wikidata.org/wiki/Q31162,10,Latina,https://www.wikidata.org/wiki/Q794954,436374,4473273,40.407634072188344,-3.7498731428601237,914 649 989,914 649 989,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5102,Colegio Público Bravo Murillo,1,1,1,No mencionado,-METRO: Avenida de la Ilustración -BUS: 49  64  67  83  124  133  127,BUS: 49  64  67  83  124  133  127,METRO: Avenida de la Ilustración,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b24aa3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-ISLAS_CIES-V-11,CALLE,ISLAS CIES,V,11,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28035,3,Peñagrande,https://www.wikidata.org/wiki/Q3319582,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,439142,4481343,40.48053890145454,-3.718014861516011,917 385 793,917 385 793,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
5103,Colegio Público Breogán,1,1,1,No mencionado,-METRO: Barrio del Pilar -BUS: 42  147,BUS: 42  147,METRO: Barrio del Pilar,,ENSEÑANZA: Educación Infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=085aa3f5ca71c010VgnVCM1000000b205a0aRCRD,CALLE-GINZO_DE_LIMIA-V-2,CALLE,GINZO DE LIMIA,V,2,Madrid,https://www.wikidata.org/wiki/Q2807,Madrid Province,https://www.wikidata.org/wiki/Q24004405,28029,5,La Paz,https://www.wikidata.org/wiki/Q5869740,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,440459,4480763,40.47540952287272,-3.7024232948074007,917 304 040,917 396 184,No mencionado,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos
