PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
10996474;"Área Delegada de Vivienda";"Titular del Área Delegada de Vivienda: Álvaro González López.  Competencias:   Definir y gestionar las políticas públicas y sociales municipales en materia de vivienda. Supervisar y controlar el cumplimiento de la normativa de vivienda con protección pública del Ayuntamiento de Madrid. Informar y supervisar los proyectos de obras públicas municipales promovidos y gestionados por la Empresa Municipal de Vivienda y Suelo de Madrid, S.A. Tramitar los procedimientos sancionadores por infracciones en materia de vivienda social, previstos en la legislación vigente. Coordinar y dirigir las actuacioes de rehabilitación del parque residencial de la ciudad y tramitar los procedimientos en materia de rehabilitación y regeneración.";"";"";"Metro: Feria de Madrid (línea 8)  Bus: 112, 122, 73, 104";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=92627421b274c610VgnVCM2000001f4a900aRCRD";"RIBERA DEL SENA";"CALLE";"V";"21";"";"";"";"Edificio Apot";"MADRID";"MADRID";"28042";"5";"CORRALEJOS";"21";"BARAJAS";"447632";"4479217";"40.461975102674856";"-3.6176719750527226";"010";"";"advivienda@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/AreasGobierno"; 
5627254;"Agencia de Actividades";"La Agencia de Actividades es el Organismo Autónomo del Ayuntamiento de Madrid adscrito al Área de Gobierno de Desarrollo Urbano encargado de la tramitación de los procedimientos de licencia y declaraciones responsables para:  la implantación, modificación y desarrollo de actividades económicas en dominio privado    actuaciones en el uso residencial y otros usos distintos en dominio privado en determinados supuestos  que puede consultar en el apartado información relacionada.  Asimismo desarrolla las actuaciones necesarias para la inspección y control de todas las actuaciones indicadas. El servicio de información urbanística se prestará a través de los  canales   habilitados al efecto.  Los ciudadanos podrá solicitar  cita previa a través de cualquiera de los siguientes canales:   En línea: a través de la web  www.madrid.es/citaprevia.   Teléfono: a través del teléfono gratuito 010, si llama desde la ciudad de Madrid, o del 915 298 210, si llama desde la ciudad de Madrid o desde fuera (se factura como cualquier otra llamada al municipio de Madrid, en función de las tarifas que tenga contratado el abonado llamante).  Redes sociales:     Twitter: @Lineamadrid       Messenger de Facebook: @Lineamadrid      Chat en línea: pulsando el icono 'Chat on line Línea Madrid' que encontrará flotando en esta misma página.  App Madrid Móvil: a través de la aplicación móvil.";"Atención al público de lunes a viernes laborables de 9 a 14 horas.";"Oficina de Registro de la Agencia de Actividades. Para la presentación de documentación a través de registro es necesario pedir  cita previa . Los siguientes servicios también requieren la solicitud de  cita previa :   Información urbanística especializada: Información sobre el inicio y la modificación de las actividades económicas, su viabilidad urbanística, obras y normativa aplicable. Así mismo le informarán sobre los procedimientos de Declaración Responsable, Licencia, Licencia de Funcionamiento o Cambio de Titularidad.  Disciplina y sancionadores: Información sobre órdenes de cese y clausura, precintos, órdenes de legalización, incumplimiento de horario y/o de aforo, precintos, sanciones, prescripción urbanística, recursos, trámite de audiencia, alegaciones y antecedentes.  Declaración Responsable Telemática Atención Personal: Presentación telemática de Declaración Responsable para actividades comerciales y servicios de superficie total hasta 150 m2, asistida por personal municipal habilitado. Deberá acudir con toda la documentación necesaria para el trámite.  Zona wifi.";"Bus: 6 , 8 , 19 , 45 , 47 , 55 , 59 , 85 , 86 , 102 y 152.  Metro: Delicias, Palos de la Frontera (Línea 3), Atocha (Línea 1), Méndez Alvaro (Línea 6).   Renfe: Delicias, Atocha.  Servicio Bicimad. Para consultar la estación más cercana acceda al mapa de geolocalización de las estaciones.";"Para conocer los trámites y las gestiones que se pueden realizar en la Agencia de Actividades puede consultar el enlace Actividades Económicas. Para cumplimentar presencialmente la Declaración Responsable, la Oficina de Declaración Responsable Telemática de la Agencia de Actividades cuenta con:   Puestos de atención personal para actividades comerciales y de servicios de hasta 150 m2 de superficie, en los que personal municipal habilitado le asistirá durante todo el proceso de cumplimentación y registro de su declaración responsable telemática.  Puestos de autoservicio para cualquier actividad sometida a la Ordenanza de Licencias y Declaraciones Responsables del Ayuntamiento de Madrid, en los que cualquier persona interesada podrá realizar el trámite por sí misma. La firma de su declaración responsable telemática requiere el uso de alguno de los certificados electrónicos admitidos.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42b3212f7e497210VgnVCM2000000c205a0aRCRD";"BUSTAMANTE";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28045";"5";"DELICIAS";"2";"ARGANZUELA";"441594";"4472433";"40.400449587879166";"-3.6882686006118175";"Información general: 010 (91 529 82 10)";"";"";"/contenido/entidadesYorganismos/AyuntamientoMadrid/OrganismosEmpresasMunicipales"; 
5949409;"Agencia de Zona de Arganzuela";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral. Bolsa de Empleo. Autoempleo.  Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual .   Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito) Si quieres que nos pongamos en contacto contigo por teléfono cumplimenta el  formulario .  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"Metro: Puerta de Atocha y Palos de la Frontera  Cercanias: Puerta de Atocha y Delicias  Bus: 8, 47, 55, 102 y 247";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=845d9744cc0fd210VgnVCM1000000b205a0aRCRD";"ANCORA";"CALLE";"V";"41";"";"";"";"";"MADRID";"MADRID";"28045";"6";"PALOS DE MOGUER";"2";"ARGANZUELA";"441480";"4472710";"40.40295364035796";"-3.689636017073743";"913 643 460";"";"azarganzuelaae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
5666151;"Agencia de Zona de Barajas";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral. Bolsa de Empleo. Autoempleo.      Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual .   Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito) Si quieres que nos pongamos en contacto contigo por teléfono cumplimenta el  formulario .  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"Metro: Alameda de Osuna Bus: 114, 115, 151";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=81e1cf4ee3448210VgnVCM2000000c205a0aRCRD";"CANTABRIA";"AVENIDA";"V";"6";"";"";"";"";"MADRID";"MADRID";"28042";"1";"ALAMEDA DE OSUNA";"21";"BARAJAS";"450175";"4478385";"40.45463575922803";"-3.587632115472542";"917 412 190";"";"azbarajasae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
5520471;"Agencia de Zona de Latina-Carabanchel";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral. Bolsa de Empleo. Autoempleo.      Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual.  Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito) Si quieres que nos pongamos en contacto contigo por teléfono cumplimenta el  formulario .  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"METRO/RENFE: Laguna BUS: 25,31,55 y 119";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d01487d2102a5210VgnVCM1000000b205a0aRCRD";"ALHAMBRA";"CALLE";"V";"89";"";"";"";"";"MADRID";"MADRID";"28047";"1";"LOS CARMENES";"10";"LATINA";"436899";"4472004";"40.39625489450572";"-3.7435473086243887";"915 088 758";"";"azlatinacarabanchel@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
5922509;"Agencia de Zona de Puente de Vallecas";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral a través de seminarios profesionales con asesoramiento (más información en documentación asociada) Bolsa de Empleo. Autoempleo.   Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.  Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual.  Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito)  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"Metro: Portazgo (L1) Bus: 10, 54, 57, 58, 136";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9367548c4939d210VgnVCM1000000b205a0aRCRD";"SIERRA MINISTRA";"PLAZA";"V";"3";"";"";"";"";"MADRID  (Acceso por la calle de Nuestra Señora del Perpetuo Socorro)";"MADRID";"28053";"3";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"443756";"4471656";"40.393607739794135";"-3.6627171720477696";"91 477 96 64";"";"azvallecasae@madrid.es";""; 
11217847;"Agencia de Zona de Puente de Vallecas (Casa del Empleo)";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral, Bolsa de Empleo. Autoempleo.      Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual.  Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito) Si quieres que nos pongamos en contacto contigo por teléfono cumplimenta el  formulario .  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"Metro: Portazgo (L1) Bus: 10, 54, 57, 58, 136";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7559af506b764710VgnVCM2000001f4a900aRCRD";"SIERRA MINISTRA";"PLAZA";"V";"3";"";"";"";"";"MADRID (Acceso por la calle de Nuestra Señora del Perpetuo Socorro)";"MADRID";"28053";"3";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"443756";"4471656";"40.393607739794135";"-3.6627171720477696";"914779664";"";"azvallecasae@madrid.es";""; 
4514901;"Agencia de Zona de Retiro";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral. Bolsa de Empleo. Autoempleo.      Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual.  Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito) Si quieres que nos pongamos en contacto contigo por teléfono cumplimenta el  formulario .  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"Metro: Pacífico Bus: 8, 10, 24, 37, 54, 56, 57, 141";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=65c9d91db2790110VgnVCM2000000c205a0aRCRD";"CIUDAD DE BARCELONA";"AVENIDA";"V";"164";"";"";"";"";"MADRID";"MADRID";"28007";"1";"PACIFICO";"3";"RETIRO";"442528";"4472638";"40.40236125879463";"-3.6772931748500297";"915 133 085";"";"azretiroae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
172696;"Agencia de Zona de Tetuán";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral. Bolsa de Empleo. Autoempleo.      Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual.  Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito) Si quieres que nos pongamos en contacto contigo por teléfono cumplimenta el  formulario .  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"Metro: Alvarado Bus: 124, 128, 3, 64, 66";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd12ff632081c010VgnVCM1000000b205a0aRCRD";"JUAN PANTOJA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28039";"";"";"";"TETUAN";"440316";"4477949";"40.4500495518789";"-3.703857334297647";"915 336 559";"";"aztetuanae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
172694;"Agencia de Zona de Vicálvaro";"Agencia de Colocación Autorizada 1300000002";"De lunes a viernes de 8:30 a 14 horas.";"Para las personas desempleadas:   Orientación laboral. Bolsa de Empleo. Autoempleo.      Puede solicitar cita previa a través de los siguientes canales de Línea Madrid:  En línea: accediendo al Sistema municipal de cita previa, seleccionando trámite o servicio: Empleo por cuenta ajena. Información y orientación laboral. Bolsa de empleo  o  Empleo por cuenta propia. Asesoramiento individual.  Telefónica: a través del 010 o del 915 298 210 (Teléfono gratuito) Si quieres que nos pongamos en contacto contigo por teléfono cumplimenta el  formulario .  Presencial: en las Oficinas de Atención a la Ciudadanía.  Para la primera cita es necesario presentar la siguiente documentación:   DNI/NIE (Permiso de trabajo) Acreditación de experiencia laboral (vida laboral) Acreditación de formación reglada y complementaria. Carnéts profesionales (si se poseen) Certificados (discapacidad, etcétera) Currículum Vitae actualizado. Tarjeta de la Demanda de Empleo.   Servicio para empresas:   Asesoramiento en gestión de Recursos Humanos. Intermediación laboral.  Para empresas no es necesario pedir cita previa.";"Metro: Vicálvaro Bus: 4, 100, 106, 130";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f7613f6b3d91f010VgnVCM2000000c205a0aRCRD";"DAROCA";"AVENIDA";"V";"327";"";"";"";"";"MADRID";"MADRID";"28032";"";"AMBROZ";"";"VICALVARO";"448288";"4472762";"40.40385606143898";"-3.6094163274740048";"917 753 950";"";"azvicalvaroae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
