num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2022S000034;02/01/2022;0:05:00;CALL. MARIA TERESA SAENZ DE HEREDIA, 6;6;15;CIUDAD LINEAL;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444462,918;4474808,752;S;NULL
2022S000290;05/01/2022;10:45:00;PASEO. MARQUES DE MONISTROL / GTA. PUENTE DE SEGOVIA;1;10;LATINA;Colisión fronto-lateral;Se desconoce;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;438584,377;4473973,21;N;NULL
2022S000292;07/01/2022;13:55:00;CALL. PICO CLAVERO, 4A;4A;13;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 60 a 64 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;443492,68;4472691,807;N;NULL
2022S000340;08/01/2022;3:00:00;CALL. HUERTAS, 24;24;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Mujer;1;Atención en urgencias sin posterior ingreso;440663,453;4473911,843;N;NULL
2022S000359;07/01/2022;18:40:00;PQUE. FUENTE CARRANTONA / AUTOV. M-23;0;14;MORATALAZ;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;446645,011;4473884,612;N;NULL
2022S000416;09/01/2022;14:20:00;CALL. ALCALA, 69;69;4;SALAMANCA;Colisión lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;NULL;NULL;441492,182;4474597,275;N;NULL
2022S000431;09/01/2022;23:30:00;CALL. ALCALA, 291;291;15;CIUDAD LINEAL;Alcance;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;2;Ingreso inferior o igual a 24 horas;444530,881;4475945,207;N;NULL
2022S000432;10/01/2022;0:20:00;CALL. SAGASTA, 30;30;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;NULL;440862,432;4475482,512;N;NULL
2022S000464;10/01/2022;14:29:00;CALL. ARACNE, 29;29;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;449989,339;4477254,626;N;NULL
2022S000477;10/01/2022;17:45:00;CUSTA. SAN VICENTE, 1;1;1;CENTRO;Colisión frontal;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439540,456;4474853,177;N;NULL
