num_expediente,fecha,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2022S000034,2022-01-02T00:05:00Z,Call. Maria Teresa Saenz De Heredia,6,15,Ciudad Lineal,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,444462.918,4474808.752,true,false
2022S000290,2022-01-05T10:45:00Z,Paseo. Marques De Monistrol / Gta. Puente De Segovia,1,10,Latina,Colisión fronto-lateral,Se desconoce,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,438584.377,4473973.21,false,false
2022S000292,2022-01-07T13:55:00Z,Call. Pico Clavero,4A,13,Puente De Vallecas,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 60 a 64 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,443492.68,4472691.807,false,false
2022S000340,2022-01-08T03:00:00Z,Call. Huertas,24,1,Centro,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,440663.453,4473911.843,false,false
2022S000359,2022-01-07T18:40:00Z,Pque. Fuente Carrantona / Autov. M-23,Se desconoce,14,Moratalaz,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,446645.011,4473884.612,false,false
2022S000416,2022-01-09T14:20:00Z,Call. Alcala,69,4,Salamanca,Colisión lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,77,Se desconoce,441492.182,4474597.275,false,false
2022S000431,2022-01-09T23:30:00Z,Call. Alcala,291,15,Ciudad Lineal,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,2,Ingreso inferior o igual a 24 horas,444530.881,4475945.207,false,false
2022S000432,2022-01-10T00:20:00Z,Call. Sagasta,30,1,Centro,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,77,Se desconoce,440862.432,4475482.512,false,false
2022S000464,2022-01-10T14:29:00Z,Call. Aracne,29,20,San Blas-canillejas,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,449989.339,4477254.626,false,false
2022S000477,2022-01-10T17:45:00Z,Custa. San Vicente,1,1,Centro,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439540.456,4474853.177,false,false
2022S000477,2022-01-10T17:45:00Z,Custa. San Vicente,1,1,Centro,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,439540.456,4474853.177,false,false
2022S000480,2022-01-10T17:45:00Z,Gta. Luxemburgo / Avda. Partenon,2,21,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,447427.912,4479330.469,false,false
2022S000501,2022-01-10T08:25:00Z,Call. Arroyofresno,24,8,Fuencarral-el Pardo,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,437168.035,4480967.925,false,false
2022S000521,2022-01-11T15:20:00Z,Paseo. Infanta Isabel / Call. Doctor Velasco,1,3,Retiro,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 55 a 59 años,Hombre,77,Se desconoce,441445.395,4473281.517,false,false
2022S000556,2022-01-12T08:15:00Z,Paseo. Fernan Nuñez / Call. Alfonso Xii,1,3,Retiro,Atropello a persona,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441680.228,4473487.644,false,false
2022S000556,2022-01-12T08:15:00Z,Paseo. Fernan Nuñez / Call. Alfonso Xii,1,3,Retiro,Atropello a persona,Despejado,Bicicleta,Peatón,De 45 a 49 años,Hombre,1,Atención en urgencias sin posterior ingreso,441680.228,4473487.644,false,false
2022S000735,2022-01-14T22:00:00Z,Call. Martinez Izquierdo / Call. Pilar De Zaragoza,4,4,Salamanca,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,443244.501,4476111.461,false,false
2022S000736,2022-01-14T23:52:00Z,Call. Caracas / Call. Fernandez De La Hoz,11,7,Chamberí,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,1,Atención en urgencias sin posterior ingreso,441034.633,4475797.555,false,false
2022S000788,2022-01-15T13:30:00Z,Call. Eloy Gonzalo / Call. Santa Engracia,7,7,Chamberí,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,2,Ingreso inferior o igual a 24 horas,440711.593,4476260.492,false,false
2022S000907,2022-01-16T10:14:00Z,Paseo. Castellana / Call. Ayala,18,4,Salamanca,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441532.37,4475492.588,false,false
2022S000910,2022-01-16T00:50:00Z,Call. Bravo Murillo,12,7,Chamberí,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440268.173,4476288.527,false,false
2022S000962,2022-01-17T00:10:00Z,Call. Fuengirola / Avda. Albufera,1,13,Puente De Vallecas,Colisión lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,445774.873,4470855.83,false,false
2022S000984,2022-01-17T16:50:00Z,Call. Sofia / Avda. Canillejas A Vicalvaro,7,20,San Blas-canillejas,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,448218.754,4474422.707,false,false
2022S001014,2022-01-17T18:45:00Z,Call. Francisco Villaespesa / Call. Ledesma,1,15,Ciudad Lineal,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,445138.586,4475584.733,false,false
2022S001058,2022-01-18T19:55:00Z,Call. Bravo Murillo / Call. Manuel Luna,201,6,Tetuán,Alcance,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,3,Ingreso superior a 24 horas,440417.931,4478475.411,false,false
2022S001068,2022-01-18T00:50:00Z,Avda. Ensanche De Vallecas / Call. Jose Gutierrez Maroto,56,18,Villa De Vallecas,Caída,Despejado,Bicicleta,Conductor,Más de 74 años,Hombre,1,Atención en urgencias sin posterior ingreso,448773.756,4468501.536,false,false
2022S001141,2022-01-19T23:26:00Z,Avda. Real De Pinto,91,17,Villaverde,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439471.963,4465069.933,false,false
