PK,NOMBRE,COMEDOR,HORARIO-AMPLIADO,EDUCACIÓN_0-3,METRO,BUS,RENFE/CERCANÍAS,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
58241,Escuela infantil municipal Agua Dulce,true,true,false,," 44 , 128",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b0e8ed67151c010VgnVCM2000000c205a0aRCRD,LEÑEROS,CALLE,NUM,25,MADRID,MADRID,28039,1,BELLAS VISTAS,6,TETUAN,439852,4478398,40.45406088024461,-3.7093713617566357,914 594 049,eiaguadulce@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
4549323,Escuela infantil municipal Altair,false,false,false,," 34, 117, 155",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f1bdba525ad91110VgnVCM1000000b205a0aRCRD,JOSE DE CADALSO,CALLE,V,43,MADRID,MADRID,28044,7,LAS AGUILAS,10,LATINA,434748,4470012,40.37813189249392,-3.7687005492302084,917 652 101,eialtair@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
5299172,Escuela infantil municipal Amanecer,false,false,false," San Cipriano, Puerta de Arganda "," 4, 71, 100",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eccf1e73b1f90210VgnVCM1000000b205a0aRCRD,TITANIO,CALLE,V,7,MADRID,MADRID,28032,1,CASCO H.VICALVARO,19,VICALVARO,448997,4472549,40.40198995600377,-3.6010443459563537,917 765 069,eiamanecer@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
5633312,Escuela infantil municipal Ana de Austria,false,false,true,," 172, 173",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d4006112d3b7210VgnVCM2000000c205a0aRCRD,ANA DE AUSTRIA,CALLE,V,32,MADRID,MADRID,28050,6,VALDEFUENTES,16,HORTALEZA,444433,4482965,40.49552153813781,-3.655736850911649,917 500 832,eianadeaustria@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
11055694,Escuela infantil municipal Antonio Mercero,true,true,false,  Príncipe Pío   ," 41, 46, 75   ", Príncipe Pío,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fdf343c4d873e610VgnVCM2000001f4a900aRCRD,VALLADOLID,AVENIDA,V,49,MADRID,MADRID,28008,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,437929,4475679,40.42943683896261,-3.731764974179636,91 540 03 19,eiantoniomercero@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
4724002,Escuela infantil municipal Campanilla,false,false,false, Alvarado ," 124, 128, 3, 64, 66,772, L1",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=635e47123dc77110VgnVCM1000000b205a0aRCRD,AVILA,CALLE,V,4,MADRID,MADRID,28020,2,CUATRO CAMINOS,6,TETUAN,440475,4478241,40.452700492043,-3.7019980764784606,915 707 576,eicampanilla@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
11647575,Escuela infantil municipal Cañaveral,true,true,false,, 159. E5. 290 (interurbano),,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=51aee95a4b4ef710VgnVCM1000001d4a900aRCRD,ENRIQUE URQUIJO,CALLE,V,56,MADRID,MADRID,28052,4,EL CAÑAVERAL,19,VICALVARO,452427,4472228,40.39930206378953,-3.5605912170897724,914 804 869,eicanaveral@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
5252087,Escuela infantil municipal Cielo Azul,true,true,false, Valdebernardo ," 8, 71, 130",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a9a997bd1dd8f110VgnVCM1000000b205a0aRCRD,INDALECIO PRIETO,BULEVAR,V,16,MADRID,MADRID,28032,1,CASCO H.VICALVARO,19,VICALVARO,447288,4472543,40.40182039479394,-3.6211941394147757,917 720 849,eicieloazul@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
5633339,Escuela infantil municipal Doña Francisquita,true,true,false,,87,,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=22fa44dd9d3b7210VgnVCM2000000c205a0aRCRD,CAMBADOS,CALLE,V,1,MADRID,MADRID,28050,6,VALDEFUENTES,16,HORTALEZA,446581,4481079,40.47868156347292,-3.6302312847478593,917 642 004,eidonafrancisquita@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
28779,Escuela infantil municipal El Alba,true,true,false, Pirámides ," 18 , 23 , 34 , 35 , 36 , 116 , 118 , 119",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b41059cb751c010VgnVCM2000000c205a0aRCRD,TOLEDO,CALLE,V,181,MADRID,MADRID,28005,2,ACACIAS,2,ARGANZUELA,439454,4472595,40.4017650455756,-3.713512276375299,915 173 351,eielalba@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
5632719,Escuela infantil municipal El Barberillo de Lavapiés,false,false,true," Arganzuela-Planetario, Legazpi "," 8, 19, 45, 47, 59, 62, 76, 85, 86, 247",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d96b9b6d163b7210VgnVCM2000000c205a0aRCRD,GRANITO,CALLE,V,32,MADRID,MADRID,28045,5,DELICIAS,2,ARGANZUELA,441428,4471687,40.39371756597044,-3.6901560198197485,910  739 659,eibarberillolavapies@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
5632789,Escuela infantil municipal El Bateo,false,false,true, El Capricho ," 101, 114, 115, 151",,ENSEÑANZA: Educación infantil (Primer ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=16ec2739d73b7210VgnVCM2000000c205a0aRCRD,PINOS DE OSUNA,CALLE,V,3,MADRID,MADRID,28042,1,ALAMEDA DE OSUNA,21,BARAJAS,449787,4478001,40.45115316018945,-3.5921656725702142,917 414 436,eielbateo@madrid.es,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas
