PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,EQUIPAMIENTO_CLEANED,DEPORTE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
4844,Centro de Natación Mundial 86 (M - 86),"Este centro deportivo es patrimonio de la Comunidad de Madrid. No obstante, desde el año 1988, se mantiene un acuerdo de colaboración con la Federación Madrileña de Natación para el desarrollo de la Campaña de Natación en sus instalaciones.",Apertura de la instalación:   De lunes a viernes 8 a 22 horas. Sábado y domingo de 9 a 11 horas.   Oficina: de lunes a viernes de 9 a 14 horas.,piscina de calles al aire libre (con cubierta textil). piscina de calles (con cubierta de hormigon). piscina de bebes de chapoteo al aire libre. vaso recepcion toboganes. piscina recreativa infantil al aire libre. piscina de saltos cubierta. pileta de calentamiento de saltos/ piscina de bebes cubierta. piscina de aprendizaje cubierta. gimnasio musculacion. gimnasio multiusos. aula del deporte. vestuarios y duchas. cafeteria-restaurante. oficinas. sala de maquinas. sala de calderas.,piscina,natacion,"Metro: Sainz de Baranda (líneas 6 y 9).  Bus: 15, 215, 143, 156, 30, 56.  Bicimad: Estación 72 (calle Doctor Esquerdo, 99).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3803b54d771c010VgnVCM1000000b205a0aRCRD,JOSE MARTíNEZ DE VELASCO,CALLE,V,3,,,,,MADRID,MADRID,28007,3,ESTRELLA,3,RETIRO,443405,4474089,40.41550175,-3.66708794,914 095 351,,cnmundial86@madrid.org,Gimnasios, 
4844,Centro de Natación Mundial 86 (M - 86),,,,gimnasio,musculacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4707,Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),,"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla    De lunes a viernes, de 9 a 20,30 horas.   Cierre completo del centro   Un mes natural en temporada estival  y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","clases deportivas pre-infantiles ( a años): matronatacion y natacion. infantiles ( a años): natacion. jovenes y personas adultas ( a años): acuagim, gimnasia acuatica, fitness acuatico, natacion, natacion de compensacion y natacion embarazadas. mayores de años: natacion. equipamientos superficie total de las instalaciones: . metros cuadrados. unidades deportivas cubiertas: piscina (vaso de metros y vaso de enseñanza) y sala de musculacion. oficina de promocion deportiva: responsable de la coordinacion de juegos deportivos municipales, torneos y circuitos municipales, copas de primavera. ademas, ofrece informacion sobre las escuelas de promocion deportiva. ayudas tecnicas para la accesibilidad: grua de piscina.",piscina,natacion,"Metro: Barrio del Pilar , Peñagrande.   Bus: 42, 49, 67, 83, 128, 134, 137.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e92942be9971c010VgnVCM1000000b205a0aRCRD,MONFORTE DE LEMOS,AVENIDA,S/N,38,,,,,MADRID,MADRID,28029,4,EL PILAR,8,FUENCARRAL-EL PARDO,439931,4481139,40.47876758,-3.708699328,914 800 476,,idmlavaguada@madrid.es,Piscinas, 
10183549,Centro Deportivo Municipal Alcántara,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 23 horas.   Sábados: de 9 a 20 horas. Domingos y festivos: de 9 a 15 horas   Cierre completo del Centro   Los  días 1 de enero, 1 de mayo y 25 de diciembre.","clases y escuelas deportivas pre-infantiles: matronatacion. escuelas infantiles: bailes, defensa personal y natacion. jovenes y personas adultas: natacion. mayores de años: natacion. personas con discapacidad: natacion. equipamientos superficie total de las instalaciones: . metros cuadrados. unidades deportivas al aire libre: piscina (vaso de , x , metros) y u nidades auxiliares al aire libre, terrazas (de entrenamiento, ludoteca y solarium). unidades deportivas cubiertas: piscinas (vaso de metros y vaso de enseñanza), salas multiusos (actividades y ciclo indoor) y sala fitness.",piscina,natacion,"Metro: Lista, Manuel Becerra.  Bus: 21, 43, 53, 146.  Renfe: Cercanías.  Bicicletas:  El centro dispone de aparca bicicletas exterior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a949235892f28510VgnVCM1000001d4a900aRCRD,ALCANTARA,CALLE,V,26,,,,,MADRID,MADRID,28006,2,GOYA,4,SALAMANCA,442851,4475492,40.42810292,-3.673731721,917 373 641,,alcantara@viding.es,Gimnasios, 
114782,Centro Deportivo Municipal Alfredo Goyeneche,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla   De lunes a viernes: de 9 a 20,30 horas Sábados y domingos: de 9 a 13,30 horas Festivos, cerrado    Cierre completo del centro  Los fines de semana por la tarde, festivos, semana santa, fines de semana del mes de julio, mes de agosto, y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","clases y escuelas deportivas pre infantiles ( y años): natacion y predeporte. infantiles (edad segun modalidades): gimnasia ritmica, natacion, natacion sincronizada y padel. jovenes y adultos (de a años): acuagim, aerobic, combinadas, estiramientos, fitness, fitness acuatico, gap (gluteos, abdomen y piernas), marcha nordica, natacion, padel, pilates y yoga. mayores años: actividad fisica, acuagim, gimnasia acuatica, natacion, pilates y prevencion de caidas. personas con discapacidad: natacion. equipamientos superficie total de las instalaciones: . metros cuadrados. unidades deportivas al aire libre: pista de padel, pista de padel (cristal), pista de tenis y rocodromo. unidades deportivas cubiertas: pabellon polideportivo, piscina (vaso metros y vaso de enseñanza), sala de musculacion, salas multiusos y saunas. ayudas tecnicas para la accesibilidad: ascensor, plataforma y grua de piscina. columna de rescate cardiaco.",pista de padel,padel,"Bus: 160, 161, 658  Renfe:  Aravaca   Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD,ARROYO DE POZUELO,CALLE,V,99,,,,,MADRID,MADRID,28023,7,ARAVACA,9,MONCLOA-ARAVACA,433581,4478234,40.45212135,-3.783283204,913 571 228,,idmagoyeneche@madrid.es,Gimnasios, 
114782,Centro Deportivo Municipal Alfredo Goyeneche,,,,pista de padel,padel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114782,Centro Deportivo Municipal Alfredo Goyeneche,,,,pista de tenis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114782,Centro Deportivo Municipal Alfredo Goyeneche,,,,piscina,natacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Centro Deportivo Municipal Aluche,,"Horario de uso de las instalaciones deportivas Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a domingos y festivos de 8,30 a 20,30 horas.    Cierre completo del centro      Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","clases y escuelas deportivas pre-infantiles ( a años, segun modalidades): actividad fisica y juego, natacion, patinaje velocidad y pre-deporte (gimnasia ritmica y artistica). infantiles ( a años, segun modalidades): aerobic, atletismo, baloncesto, buceo, futbol, gimnasia artistica, gimnasia ritmica, gimnasia ritmica (estetica), hockey patines, judo, karate shyto, natacion, patinaje artistico, patinaje velocidad, polideportiva, tenis y voleibol. jovenes y adultos ( a años, segun modalidades): aerobic, acuapilates, atletismo, bailes de salon, baloncesto, carrera acuatica (acuarunning) , caminar por madrid, correr por madrid (carrera popular), ciclo sala, fitness, gimnasia acuatica (acuagim), gap (gluteos, abdomen, piernas) , gimnasia de compensacion (salud), gimnasia ritmica (estetica), judo, karate shyto, marcha nordica, natacion, natacion de compensacion, natacion embarazadas, padel, pilates, streching, tenis y yoga dinamico. mayores de años: acondicionamiento fisico deportivo, gimnasia acuatica (acuagim), natacion y pilates. personas con discapacidad fisica: natacion. actividades fisico deportivas para centros escolares: escuela deportiva de educacion vial. equipamientos superficie total de las instalaciones: . metros cuadrados unidades deportivas al aire libre: campo de futbol de cesped artificial, circuito de educacion vial, fronton corto, fronton largo, patinodromo, piscinas ( vaso de gemelas y vaso infantil), pista de atletismo, pista de hockey patines, pista de padel, pista de patinaje, pista polideportiva, pista de tenis, pista de voley playa y tenis de mesa. unidades deportivas cubiertas: pabellon polideportivo, piscinas (vaso de metros y vaso de metros), sala de artes marciales, salas multiusos, sala de musculacion y saunas. servicio de medicina deportiva: acondicionamiento cardiovascular, reconocimientos medicos para deportistas. ayudas tecnicas para la accesibilidad: grua de piscina. oficina de promocion deportiva: responsable de la coordinacion de juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, informacion en las escuelas de promocion deportiva. columna de rescate cardiaco.",pista de atletismo,atletismo,"Metro: Aluche  Bus: 17, 34, 139  Renfe: Fanjul   Bicicletas:  el centro dispone de aparca bicicletas exterior  con capacidad para 6 bicicletas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD,DE LAS AGUILAS,AVENIDA,V,14,,,,,MADRID,MADRID,28044,7,LAS AGUILAS,10,LATINA,434332,4470525,40.38272052,-3.773653601,917 062 868,,idmaluche@madrid.es,Gimnasios, 
4696,Centro Deportivo Municipal Aluche,,,,pista de hockey,hockey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
